"Trait","Number of DGRP lines measured","Sex","Trait guild","Trait description","Reference"
"glycerol.2018.f","36","Female","Metabolome","Mean quantity of glycerol per adult fly. Higher values indicate a higher glycerol content.","Jehrke et al (2018) Scientific Reports"
"glycerol.2018.m","36","Male","Metabolome","Mean quantity of glycerol per adult fly. Higher values indicate a higher glycerol content.","Jehrke et al (2018) Scientific Reports"
"glycerol.2019.f","40","Female","Metabolome","Mean free glycerol (mg/ul) extracted from 10 flies. Higher values indicate greater levels of free glycerol.","Zhou et al (2019) Genome Research"
"glycerol.2019.m","40","Male","Metabolome","Mean free glycerol (mg/ul) extracted from 10 flies. Higher values indicate greater levels of free glycerol.","Zhou et al (2019) Genome Research"
"glycerol.high.glucose.diet.m","147","Male","Metabolome","Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycerol.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glycerol.larvae.2018","35","Both","Metabolome","Mean quantity of glycerol per third instar larvae. Higher values indicate a higher glycerol content.","Jehrke et al (2018) Scientific Reports"
"glycerol.low.glucose.diet.m","150","Male","Metabolome","Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycerol.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glycerol.medium.glucose.diet.m","152","Male","Metabolome","Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycerol.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glycine.high.yeast.f","178","Female","Metabolome","Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glycine.low.yeast.f","178","Female","Metabolome","Mean relative glycine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"glycine.pref.post.limitation.f","36","Female","Sensory","Mean change in glycine diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the glycine supplemented medium after deprivation.","Toshima et al (2014) Journal of Insect Physiology"
"glycine.pref.post.limitation.m","36","Male","Sensory","Mean change in glycine diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the glycine supplemented medium after deprivation.","Toshima et al (2014) Journal of Insect Physiology"
"glycogen.2015.m","145","Male","Metabolome","Estimated mass of glycogen stores per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.","Unckless, Rottschaefer and Lazzaro (2015) G3"
"glycogen.2018.f","36","Female","Metabolome","Mean quantity of glycogen per adult fly. Higher values indicate a higher glycogen content.","Jehrke et al (2018) Scientific Reports"
"glycogen.2018.m","36","Male","Metabolome","Mean quantity of glycogen per adult fly. Higher values indicate a higher glycogen content.","Jehrke et al (2018) Scientific Reports"
"glycogen.2019.f","40","Female","Metabolome","Mean glycogen (mg/ul) extracted from 10 flies. Higher values indicate greater levels of glycogen.","Zhou et al (2019) Genome Research"
"glycogen.2019.m","40","Male","Metabolome","Mean glycogen (mg/ul) extracted from 10 flies. Higher values indicate greater levels of glycogen.","Zhou et al (2019) Genome Research"
"glycogen.anexic.m","52","Male","Metabolome","Mean combined glycogen content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glycogen content.","Dobson et al (2015) Nature Communications"
"glycogen.gnotobiotic.m","59","Male","Metabolome","Mean combined glycogen content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glycogen content.","Dobson et al (2015) Nature Communications"
"glycogen.high.glucose.diet.m","147","Male","Metabolome","Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycogen.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glycogen.larvae.2018","35","Both","Metabolome","Mean quantity of glycogen per third instar larvae. Higher values indicate a higher glycogen content.","Jehrke et al (2018) Scientific Reports"
"glycogen.low.glucose.diet.m","150","Male","Metabolome","Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycogen.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glycogen.medium.glucose.diet.m","152","Male","Metabolome","Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycogen.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"glycogen.microbiome.effect.m","37","Male","Microbiome","Mean change in the combined glycogen content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glycogen content. Note that the presence of micriobiota on average increased glycogen content.","Dobson et al (2015) Nature Communications"
"GMP.high.yeast.f","178","Female","Metabolome","Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"GMP.low.yeast.f","178","Female","Metabolome","Mean relative GMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"grooming.f","40","Female","Behavioural","Mean seconds spent grooming in a five minute interval. Higher values indicate more frequent grooming.","Hope et al (2019) Frontiers in Genetics"
"grooming.m","40","Male","Behavioural","Mean seconds spent grooming in a five minute interval. Higher values indicate more frequent grooming.","Hope et al (2019) Frontiers in Genetics"
"guanosine.high.yeast.f","178","Female","Metabolome","Mean relative guanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
