Trait,Sex,Trait guild,Trait description,Reference,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp
isoValeric.acid.low.yeast,Female,Metabolome,Mean relative isoValeric acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.16,0.67,0.83,0.2,0.16,0.31,0.17,0.22
kallithea.resistance.LT50,Female,Pathogen response,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,Palmer et al (2018) PLOS Pathogens,0,1.24,1.24,0,0.24,0.49,0.28,0.2
kallithea.resistance.LT50,Male,Pathogen response,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,Palmer et al (2018) PLOS Pathogens,0,1.01,1.01,0,0.16,0.34,0.2,0.16
kallithea.viral.load,Female,Pathogen response,"Mean viral titre of kallithea virus found in groups of 10 adult females, 8 days after injection of 50 nL of 105 ID50 KV.  This is a measure of viral load, with higher values indicating greater viral load.",Palmer et al (2018) PLOS Pathogens,0,1.07,1.07,0,0.23,0.46,0.26,0.21
Klebsiella.pneumoniae,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.22,0.54,0.77,0.29,0.12,0.24,0.13,0.2
Klebsiella.pneumoniae,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.46,0,0.46,1,0.1,0.17,0.08,0.36
Kocuria.polaris,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.02,0.96,0.98,0.02,0.14,0.3,0.17,0.15
Kocuria.polaris,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.21,0.58,0.79,0.27,0.16,0.31,0.17,0.25
Kocuria.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.08,1.08,0,0.18,0.36,0.2,0.16
Kocuria.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.02,1.02,0,0.13,0.29,0.17,0.13
Komagataeibacter.europaeus,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.12,0.75,0.88,0.14,0.15,0.3,0.17,0.2
Komagataeibacter.europaeus,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.04,0.93,0.96,0.04,0.12,0.25,0.15,0.13
Komagataeibacter.hansenii,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.03,0.94,0.97,0.03,0.1,0.23,0.14,0.11
Komagataeibacter.hansenii,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.04,0.93,0.96,0.04,0.13,0.28,0.16,0.15
Komagataeibacter.intermedius,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.17,0.65,0.83,0.21,0.17,0.33,0.17,0.24
Komagataeibacter.intermedius,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.05,1.05,0,0.15,0.31,0.18,0.14
Komagataeibacter.kakiaceti,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.24,0.53,0.77,0.31,0.16,0.3,0.16,0.26
Komagataeibacter.kakiaceti,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.13,0.74,0.87,0.15,0.16,0.31,0.17,0.21
Komagataeibacter.medellinensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.16,0.67,0.84,0.2,0.15,0.3,0.16,0.22
Komagataeibacter.medellinensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.07,0.87,0.93,0.07,0.14,0.3,0.17,0.16
Komagataeibacter.oboediens,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.21,0.58,0.79,0.26,0.16,0.3,0.16,0.24
Komagataeibacter.oboediens,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.07,0.86,0.93,0.07,0.14,0.29,0.17,0.16
Komagataeibacter.rhaeticus,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.21,0.58,0.79,0.27,0.17,0.33,0.17,0.27
Komagataeibacter.rhaeticus,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.12,1.12,0,0.21,0.43,0.24,0.19
Komagataeibacter.xylinus,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.36,0.3,0.66,0.54,0.16,0.28,0.14,0.34
Komagataeibacter.xylinus,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.11,0.77,0.89,0.13,0.18,0.35,0.19,0.22
Kozakia.baliensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.17,0.66,0.83,0.21,0.15,0.3,0.16,0.22
Kozakia.baliensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.16,1.16,0,0.18,0.36,0.21,0.15
kujin.virus.resistance,Female,Pathogen response,Mean survival after infection with the Kunjin subtype of the West Nile Virus. Calculated as the log(hazard ratio). Higher values indicate greater susceptibility to the virus.,Ahlers et al (2019) Cell Reports,0,1.23,1.23,0,0.38,0.77,0.42,0.31
L-Kynurenine.high.yeast,Female,Metabolome,Mean relative L-Kynurenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.02,0.96,0.98,0.02,0.16,0.33,0.19,0.17
L-Kynurenine.low.yeast,Female,Metabolome,Mean relative L-Kynurenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.06,0.88,0.94,0.06,0.17,0.35,0.2,0.19
L.monocytogenes.load,Male,Pathogen response,The median number  of colony forming units (originally log transformed) 48 hrs after initial infection with the bacterial pathogen L.monocytogenes. Higher values indicate a greater bacterial load and a more severe infection.,Hotson and Schneider (2015) G3,0.04,0.93,0.97,0.05,0.33,0.67,0.35,0.36
L.monocytogenes.MTD,Male,Pathogen response,Median days till death after injection with 1000 colony forming units of the bacterial pathogen L. monocytogenes. Higher values indicate greater resistance to the L. monocytogenes.,Hotson and Schneider (2015) G3,0.08,0.85,0.93,0.08,0.25,0.5,0.27,0.29
lactate.high.yeast,Female,Metabolome,Mean relative lactate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.14,0.72,0.86,0.16,0.18,0.36,0.2,0.24
lactate.low.yeast,Female,Metabolome,Mean relative lactate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.06,1.06,0,0.16,0.35,0.2,0.16
Lactobacillus.brevis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.11,0.79,0.89,0.12,0.15,0.3,0.17,0.19
Lactobacillus.brevis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.03,1.03,0,0.16,0.33,0.19,0.15
Lactobacillus.fabifermentans,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.04,0.91,0.96,0.05,0.1,0.22,0.14,0.11
Lactobacillus.fabifermentans,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.06,0.89,0.94,0.06,0.13,0.27,0.16,0.15
Lactobacillus.fermentum,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.01,0.97,0.99,0.01,0.11,0.25,0.15,0.12
